rovince,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Ken McDonald Liberal/Libéral","Conception Bay South, N.L./ T.-N.-L.","Retired/Retraité",23528,55.9,     16027,  38.1
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Scott Andrews ** No Affiliation/Aucune appartenance","Conception Bay South, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",7501,17.8,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Jeannie Baldwin NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Union Officer/Dirigeante syndicale",6075,14.4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Lorraine E. Barnett Conservative/Conservateur","Paradise, N.L./ T.-N.-L.","Director Regional Affairs/Directrice des affaires régionales",4670,11.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Krista Byrne-Puumala Green Party/Parti Vert","Conception Bay South, N.L./ T.-N.-L.","Environmental practitioner/Student/Business owner/Spécialiste de l'environnement/étudiant/Prop. ent.",228,.5,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Jennifer McCreath Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions","St. John's, N.L./ T.-N.-L.","Civil Servant/Fonctionnaire",84,.2,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Judy M. Foote ** Liberal/Libéral","St. John's, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",28704,81.8,     25170,  71.7
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Mike Windsor Conservative/Conservateur","Paradise, N.L./ T.-N.-L.","Leadership Consultant/Consultant en direction",3534,10.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Jenn Brown NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Industry Liaison Officer/Agente de liaison de l'industrie",2557,7.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Tyler John Colbourne Green Party/Parti Vert","Dartmouth, N.S./ N.-É.","Tour Guide/Guide touristique",297,.8,,
